"Espacenet";"";"";"";"";"";"";"";"";
"Patent search";"";"";"";"";"";"";"";"";
"21 844 results found for (nftxt = ""e-commerce"" OR nftxt = ""online ordering"" OR nftxt = ""digital marketplace"") AND (nftxt = ""product search"" OR nftxt = ""recommendation"" OR nftxt = ""personalization"" OR nftxt = ""shopping cart"" OR nftxt = ""checkout"" OR nftxt = ""order management"" OR nftxt = ""mobile ordering"")";"";"";"";"";"";"";"";"";
"null";"";"";"";"";"";"";"";"";
"Query language: en / de / fr";"";"";"";"";"";"";"";"";
"Sort by: Relevance";"";"";"";"";"";"";"";"";
"Filters: Earliest publication date (family): 2022-01-01 To 2026-12-31";"";"";"";"";"";"";"";"";
"No";"Title";"Inventors";"Applicants";"Publication number";"Earliest priority";"IPC";"CPC";"Publication date";"Earliest publication";"Family number";
"15";"INTERACTIVE CHECKOUT SYSTEMS AND METHODS";"GYURE AARON S [US]";"KWIKKART CORP [US]";"US2025232280A1";"2024-01-13";"G01G19/52 
G06Q20/18 
G06Q20/20 
G06Q30/0601";"G01G19/52 (EP,US) 
G06Q20/18 (US) 
G06Q20/208 (US) 
G06Q30/0633 (EP,US) 
G07G1/0072 (EP)";"2025-07-17";"2025-07-17";"096348749";
"16";"E-commerce information rapid retrieval method";"LIU JINYANG 
ZHOU JIE 
XIE FENGJIAO";"SHENZHEN CHONGZHENG IND CO LTD";"CN120086425A 
CN120086425B";"2025-04-29";"G06F16/951 
G06F16/9535 
G06F18/213 
G06F18/25 
G06N5/04 
G06Q30/0601";"G06F16/951 (CN) 
G06F16/9535 (CN) 
G06F18/213 (CN) 
G06F18/253 (CN) 
G06N5/04 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2025-06-03 
2025-07-04";"2025-06-03";"095845545";
"17";"Recommendation algorithm design based on big data in e-commerce platform";"LI ZHICHAO";"HUBEI OUYIN NETWORK TECH CO LTD";"CN119398866A";"2024-10-16";"G06F16/906 
G06F16/9535 
G06F16/9537 
G06F18/10 
G06F18/23 
G06F18/24 
G06N3/0464 
G06N3/088 
G06Q30/0601";"G06F16/906 (CN) 
G06F16/9535 (CN) 
G06F16/9537 (CN) 
G06F18/10 (CN) 
G06F18/23 (CN) 
G06F18/24 (CN) 
G06N3/0464 (CN) 
G06N3/088 (CN) 
G06Q30/0631 (CN)";"2025-02-07";"2025-02-07";"094423414";
"18";"METHOD, APPARATUS, AND RECORDING MEDIUM FOR PROCESSING DATA RELATED TO E-COMMERCE SERVICE";"CHANG CATHERINE [KR] 
KIM KIREE [KR]";"COUPANG CORP [KR]";"WO2025070872A1";"2023-09-25";"G06Q10/08 
G06Q50/10";"G06Q10/08 (EP) 
G06Q10/0832 (KR) 
G06Q10/0833 (KR) 
G06Q10/0838 (KR) 
G06Q50/10 (EP,KR)";"2025-04-03";"2025-04-01";"095203970";
"19";"User feature extraction method of e-commerce recommendation model";"LIU HUIZHU 
ZHOU YUSHENG 
JIAN SITAO";"SHANGHAI YOUSHI ENTERPRISE MAN CONSULTING CO LTD";"CN119168734A";"2024-08-28";"G06F18/213 
G06Q30/0601 
G06T11/20";"G06F18/213 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN) 
G06T11/26 (CN)";"2024-12-20";"2024-12-20";"093886193";
"20";"Dish recommendation method and electronic equipment";"CHEN XUNJIAN 
LI CHEN 
ZHANG CHU 
DONG CHE 
WANG QINGYU";"BEIJING SANKUAI ONLINE TECH CO LTD";"CN120707242A";"2025-06-17";"G06Q30/0601 
G06Q50/12";"G06Q30/0631 (CN) 
G06Q50/12 (CN)";"2025-09-26";"2025-09-26";"097118387";
"21";"Service management system for cross-border e-commerce";"LIAO FENGQING 
LIU XIAOPING";"QUANZHOU WINGWU SCIENCE AND TECH LIMITED COMPANY";"CN114693252A";"2022-03-16";"G06F16/2457 
G06Q10/08 
G06Q10/10 
G06Q30/06";"G06F16/2457 (CN) 
G06Q10/087 (CN) 
G06Q10/103 (CN) 
G06Q30/0605 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN)";"2022-07-01";"2022-07-01";"082139407";
"22";"E-commerce session recommendation method, system and device based on multi-behavior feature fusion and medium";"LU GUANMING 
DING JIAWEI 
BAO BINGKUN 
YU PENGHANG";"UNIV NANJING POSTS & TELECOMMUNICATIONS";"CN115659277A 
CN115659277B";"2022-10-21";"G06F18/22 
G06F18/25 
G06N3/04 
G06N3/08 
G06Q30/06";"";"2023-01-31 
2025-07-22";"2023-01-31";"084988606";
"23";"Ein System für personalisierte Produktempfehlungen unter Verwendung von AI/ML APIs in einer E-Commerce-Plattform";"";"CHINTADRIPET DILLIBATCHA SUHASAN [US]";"DE202025101613U1";"2025-03-25";"G06Q30/0251 
G06Q30/06";"G06Q30/0271 (EP) 
G06Q30/0631 (EP) 
G06Q2220/00 (EP)";"2025-04-03";"2025-04-03";"095481028";
"24";"E-commerce transaction recommendation method based on big data";"HUANG HUA";"NANTONG YONGJING INFORMATION TECH CO LTD";"CN121437098A";"2025-11-06";"G06F16/2457 
G06F16/9535 
G06F16/9536 
G06F18/15 
G06F18/21 
G06F18/211 
G06F18/214 
G06F18/2433 
G06F18/25 
G06Q30/0601";"G06F16/24575 (CN) 
G06F16/24578 (CN) 
G06F16/9535 (CN) 
G06F16/9536 (CN) 
G06F18/15 (CN) 
G06F18/211 (CN) 
G06F18/214 (CN) 
G06F18/217 (CN) 
G06F18/2433 (CN) 
G06F18/259 (CN) 
G06Q30/0631 (CN)";"2026-01-30";"2026-01-30";"098541020";
"25";"Commodity category recommendation management system based on e-commerce applet";"LI ZHICHAO";"HUBEI OUYIN NETWORK TECH CO LTD";"CN119107114A";"2024-09-06";"G06Q30/0201 
G06Q30/0601";"G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2024-12-10";"2024-12-10";"093717097";
"26";"E-commerce platform commodity recommendation method and system based on big data";"ZHENG CHUANGXIN";"GUANGZHOU BIGCASE NETWORK TECH CO LTD 
SHENZHEN BIGCASE NETWORK TECH CO LTD";"CN118365431A 
CN118365431B";"2024-06-19";"G06F40/284 
G06N3/0499 
G06Q10/087 
G06Q30/0202 
G06Q30/0601 
G06V20/60";"G06F40/284 (CN) 
G06N3/0499 (CN) 
G06Q10/087 (CN) 
G06Q30/0202 (CN) 
G06Q30/0631 (CN) 
G06V20/60 (CN)";"2024-07-19 
2024-10-11";"2024-07-19";"091884177";
"27";"Ein System zur 3D-Visualisierung im E-Commerce und seine Auswirkungen auf Kundenbindung und Konversionsraten";"";"GOVINDARAJU MAHESWARI [US]";"DE202025101279U1";"2025-03-11";"G06Q30/0601 
G06T19/00";"G06Q10/40 (EP) 
G06Q30/0185 (EP) 
G06Q30/0609 (EP) 
G06Q30/0621 (EP) 
G06Q30/0623 (EP) 
G06Q30/0643 (EP) 
G06Q2220/00 (EP)";"2025-03-28";"2025-03-28";"095399823";
"28";"ERP shopping mall system based on minimum to-be-sold unit";"LIU XIN";"SHANDONG INSPUR SCIENCE RESEARCH INSTITUTE CO LTD";"CN115358811A 
CN115358811B";"2022-08-01";"G06Q30/02 
G06Q30/06 
G06Q30/0283 
G06Q30/0601";"G06Q30/0283 (CN) 
G06Q30/0635 (CN)";"2022-11-18 
2026-01-16";"2022-11-18";"084032723";
"29";"Hierarchical data display method and system based on e-commerce platform";"LAN FUMIN 
TANG ZHONGLIANG 
RAN YUAN";"SHANDONG TIANCHI INFORMATION TECH CO LTD";"CN118967182A 
CN118967182B";"2024-07-15";"G06F3/01 
G06N3/0464 
G06N3/08 
G06Q20/38 
G06Q30/0201 
G06Q30/0202 
G06Q30/0601";"G06F3/013 (CN) 
G06N3/0464 (CN) 
G06N3/08 (CN) 
G06Q20/382 (CN) 
G06Q30/0201 (CN) 
G06Q30/0202 (CN) 
G06Q30/0623 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN) 
Y02D10/00 (EP)";"2024-11-15 
2025-07-22";"2024-11-15";"093390102";
"30";"Mobile shopping mall system based on online shopping";"LI HAOSEN";"HANGZHOU JINGCHI TECH CO LTD";"CN118212026A";"2024-02-19";"G06F16/25 
G06F21/60 
G06Q20/08 
G06Q30/0601";"G06F16/252 (CN) 
G06F21/602 (CN) 
G06Q20/0855 (CN) 
G06Q30/0631 (CN) 
G06Q30/0641 (CN)";"2024-06-18";"2024-06-18";"091446767";
"31";"AUTOMATED DELIVERY COORDINATION AND MEETING SCHEDULING FOR MULTIPLE-RECIPIENT ORDERS RECEIVED AT A COMPUTER SYSTEM";"HULUGUNDI JAGADESH RAMASWAMY [IN] 
NAGAR RAGHUVEER PRASAD [IN] 
SHIVALINGAPPA MADHU KUMAR [IN] 
SAMPATHKUMAR NALINI [IN]";"IBM [US]";"US12093883B2 
US2023289713A1";"2022-03-10";"G06Q10/08 
G06Q30/06 
G06Q10/0836 
G06Q30/0601";"G06Q10/0836 (EP,US) 
G06Q10/1093 (EP) 
G06Q30/0635 (EP,US) 
G06Q30/0641 (EP,US)";"2023-09-14 
2024-09-17";"2023-09-14";"087932003";
"32";"E-commerce agricultural product intelligent recommendation method and system";"HUANG WENQUN 
LIU JUEQIANG 
XIAO SHIFEI 
CHEN YANG 
YANG JIN 
WEN TING 
HE BOBO 
ZHOU QIANG 
HUANG HUI 
LIU JUHUA 
LIU JIAYI 
ZHAO LUQIN 
SHANG XIANCHUN";"JIAN COLLEGE 
JIAN QUEYOU AGRICULTURAL DEV CO LTD";"CN120634674A";"2025-05-30";"G06F16/9535 
G06Q30/0601 
G06Q50/02";"G06F16/9535 (CN) 
G06Q30/0631 (CN) 
G06Q50/02 (CN)";"2025-09-12";"2025-09-12";"096959738";
"33";"Cross-platform e-commerce data integration and analysis system and method based on AI";"LI QIANG 
CHEN ZHEN";"SHANGHAI LANGHUI HUIKE TECH CO LTD 
HUAIBEI LANGHUI DIGITAL TECH CO LTD";"CN119850297A 
CN119850297B";"2024-12-26";"G06F16/9535 
G06Q30/0201 
G06Q30/0601";"G06F16/9535 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2025-04-18 
2025-11-14";"2025-04-18";"095355750";
"34";"System and method for advertisement space recommendation and a checkout process for an e-commerce platform";"SENTHIL KUMAR N [US]";"SENTHIL KUMAR N [US]";"US11551258B1";"2021-05-12";"G06F16/9535 
G06F16/955 
G06F9/54 
G06Q10/08 
G06Q30/00 
G06Q30/02 
G06Q30/06 
G06Q50/00 
G09F9/30";"G06F16/9535 (US) 
G06F16/9566 (EP,US) 
G06F9/547 (US) 
G06Q10/08 (EP) 
G06Q10/087 (EP,US) 
G06Q10/40 (EP,US) 
G06Q30/0201 (US) 
G06Q30/0242 (EP) 
G06Q30/0246 (US) 
G06Q30/0249 (US) 
G06Q30/0253 (US) 
G06Q30/0275 (EP,US) 
G06Q30/0277 (EP,US) 
G06Q30/0601 (EP) 
G06Q30/0633 (US) 
G09F9/30 (US)";"2023-01-10";"2022-11-17";"084027782";
"35";"Cross-tenant order combination processing method, cross-border e-commerce platform and electronic equipment";"WANG JUN 
MAI HAO 
XU YUYUN 
WU WEI 
PENG ZIRAN";"HANGZHOU ALIBABA OVERSEAS INTERNET IND CO LTD";"CN120410662A";"2025-03-17";"G06Q10/0831 
G06Q30/0601 
G06Q30/0645";"G06Q10/0831 (CN) 
G06Q30/0635 (CN) 
G06Q30/0641 (CN) 
G06Q30/0645 (CN)";"2025-08-01";"2025-08-01";"096521725";
"36";"E-commerce sales intelligent information recommendation system";"FENG LILEI 
WAN DAYIN";"NANTONG YUNSHANGZHAO HOME TEXTILE E COMMERCE CO LTD";"CN120387868A 
CN120387868B";"2024-11-04";"G06F16/9535 
G06F16/9537 
G06Q30/0601";"G06F16/9535 (CN) 
G06F16/9537 (CN) 
G06Q30/0625 (CN) 
G06Q30/0631 (CN) 
G06Q30/0639 (CN)";"2025-07-29 
2025-12-30";"2024-12-03";"093631840";
"37";"SYSTEM AND METHOD FOR PROVIDING E-COMMERCE CUSTOMER PERSONALIZATION SERVICE";"LEE HAK IM [KR] 
KIM NA IM";"LEE HAK IM [KR]";"KR20230068764A";"2021-11-11";"G06Q30/02 
G06Q30/06";"G06Q30/0203 (KR) 
G06Q30/0222 (KR) 
G06Q30/0609 (KR) 
G06Q30/0631 (KR)";"2023-05-18";"2023-05-18";"086545383";
"38";"Materialization of a shopping cart at an instant messaging platform";"TURNER COLIN DOUGLAS [US] 
ROMANO EVAN ANDREW [US] 
PERRY NICOLE MARIE [US] 
FOX JOHN BAROTT [US] 
KILLEA NATHAN PATRICK [US] 
SULLIVAN MARK ROBERT [US] 
BHATIA ROHAN [CA] 
LACHO DAVID DENNISON [CA] 
REIFF TYLER JAMESON [US] 
SEIBEL ALEXANDER NATHAN [US] 
DINNING STEADMAN STONESS [CA] 
ROMANO OWEN DAVID [CA]";"STODGE INC [US]";"US11887178B1";"2023-02-28";"G06Q30/00 
G06Q30/0601 
H04L51/046";"G06Q30/0631 (EP) 
G06Q30/0633 (EP,US) 
G06Q30/0641 (EP) 
G06Q30/0643 (EP) 
H04L51/046 (EP,US) 
H04L51/04 (EP) 
H04L51/58 (EP)";"2024-01-30";"2024-01-30";"089666168";
"39";"Traditional Chinese medicine decoction piece e-commerce commodity recommendation method and device, equipment and storage medium";"SUN XU";"QUANDOU DIGITAL TECH CO LTD";"CN116071132A";"2023-02-28";"G06Q30/0601";"G06Q30/0631 (CN)";"2023-05-05";"2023-05-05";"086180183";
"40";"Multi-platform e-commerce system data real-time synchronization method, system and device and storage medium";"LAO WEIMING 
ZHAO LIFENG 
LEE JIN-KYUNG";"NANJING LEYUNRUI INFORMATION TECH CO LTD";"CN121501897A";"2025-11-21";"G06F16/23 
G06F16/27 
G06Q10/0875 
G06Q30/0601";"G06F16/2358 (CN) 
G06F16/2365 (CN) 
G06F16/275 (CN) 
G06Q10/0875 (CN) 
G06Q30/0601 (CN) 
G06Q30/0631 (CN) 
G06Q30/0635 (CN)";"2026-02-10";"2026-02-10";"098673606";
"41";"System and Methods for Creating E-Commerce Virtual Experiences And Integrating Graphical User Interfaces";"SHOLL SANDRA [US] 
KONG BAILEY [US] 
RODRIGUEZ ALEXANDER [US] 
SHEU ROGER [US] 
FREEDE ADAM [US] 
CANFIELD DAVE [US] 
MAGNER LARKIN [US] 
CAREY SPENCER [US]";"ZELIG TECH LLC [US]";"US2025191055A1";"2022-07-01";"G06Q30/0601 
G06T11/60 
G06T3/18";"G06Q30/0633 (EP,US) 
G06Q30/0643 (EP,US) 
G06T11/60 (EP,US) 
G06T3/18 (EP,US) 
G06V10/26 (EP) 
G06V10/454 (EP) 
G06V10/751 (EP) 
G06V10/82 (EP) 
G06V20/20 (EP) 
G06V40/103 (EP) 
G06T2200/24 (US) 
G06T2210/16 (US)";"2025-06-12";"2025-06-12";"095940233";
"42";"SYSTEM AND METHOD FOR STREAMLINING A CHECKOUT PROCESS OF E-COMMERCE WEBSITES";"SENTHIL KUMAR N [US]";"SENTHIL KUMAR N [US]";"US11532023B2 
US2022270147A1";"2021-02-24";"G06F16/951 
G06F16/9532 
G06F9/451 
G06F9/54 
G06Q30/06 
G06Q20/12";"G06F16/951 (EP,US) 
G06F16/9532 (US) 
G06F9/451 (EP,US) 
G06F9/547 (US) 
G06Q20/12 (EP) 
G06Q30/0613 (EP,US) 
G06Q30/0633 (EP,US) 
G06Q30/0641 (EP,US) 
G06Q20/12 (US)";"2022-08-25 
2022-12-20";"2022-08-25";"082900158";
"43";"SYSTEM AND METHODS FOR CREATING E-COMMERCE VIRTUAL EXPERIENCES AND INTEGRATING GRAPHICAL USER INTERFACES";"SHOLL SANDRA [US] 
KONG BAILEY [US] 
RODRIGUEZ ALEXANDER [US] 
SHEU ROGER [US] 
FREEDE ADAM [US] 
CANFIELD DAVE [US] 
MAGNER LARKIN [US] 
CAREY SPENCER [US]";"ZELIG TECH LLC [US]";"WO2025175317A1";"2024-02-16";"G06Q30/0601";"G06Q30/0621 (EP) 
G06Q30/0623 (EP) 
G06Q30/0631 (EP) 
G06Q30/06333 (EP) 
G06Q30/0635 (EP) 
G06Q30/0641 (EP)";"2025-08-21";"2025-08-21";"096773611";
"44";"Shopping mall operation management platform and method based on AI";"CAI BINBIN 
JIANG LIMIN 
LI JIAMING 
MEI JIE 
ZHANG ZEHAN";"FUQING YIDAO DAKA INFORMATION TECH CO LTD";"CN121235790A";"2025-09-17";"G06F16/3329 
G06F16/334 
G06Q10/0631 
G06Q30/0601";"";"2025-12-30";"2025-12-30";"098144336";
"45";"Customer analysis system for cross-border e-commerce platform";"HE JIEZHONG 
XU XIAOFENG 
GUI YIMING";"SHENZHEN UEB TECH CO LTD";"CN118195744A 
CN118195744B";"2024-05-14";"G06F16/901 
G06F16/906 
G06Q30/0201 
G06Q30/0601";"G06F16/9027 (CN) 
G06F16/906 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2024-06-14 
2024-07-05";"2024-06-14";"091400511";
"46";"Product sales intelligent recommendation method and system for e-commerce platform";"ZHAO JUN";"ANHUI EASY BUSINESS DIGITAL TECH CO LTD";"CN115760275A";"2022-10-31";"G06F16/9535 
G06F16/9536 
G06Q30/0601";"Y02D10/00 (EP)";"2023-03-07";"2023-03-07";"085356069";
"47";"Intelligent recommendation method and system for e-commerce platform products";"XIA MAN 
CUI ZHONGLIANG";"GUANGXI VOCATIONAL & TECHNICAL COLLEGE";"CN113935812A";"2021-10-29";"G06F16/906 
G06F16/9535 
G06Q30/02 
G06Q30/06";"G06F16/906 (CN) 
G06F16/9535 (CN) 
G06Q30/0271 (CN) 
G06Q30/0277 (CN) 
G06Q30/0605 (CN) 
G06Q30/0631 (CN)";"2022-01-14";"2022-01-14";"079284754";
"48";"Multi-behavior e-commerce platform recommendation method based on collaborative comparative learning";"YANG XUHUA 
CHEN MENG'ANG 
MA GANGFENG";"UNIV ZHEJIANG TECHNOLOGY";"CN119941360A 
CN119941360B";"2025-01-23";"G06F18/22 
G06N3/042 
G06N3/045 
G06N3/0464 
G06N3/047 
G06N3/0895 
G06Q30/0601";"";"2025-05-06 
2025-09-16";"2025-05-06";"095545245";
"49";"Localized e-commerce purchasing management system deployed by private cloud";"LUO YUE";"SHANGHAI SUHEHUI TECH SERVICE CO LTD";"CN117876073A";"2024-01-18";"G06Q10/087 
G06Q30/0601";"G06Q10/087 (CN) 
G06Q30/0601 (CN) 
G06Q30/0605 (CN)";"2024-04-12";"2024-04-12";"090588172";
"50";"E-commerce shop recommendation method based on probability statistics";"JIA CHENGHAN";"CHINA CHANGFENG SCIENCE TECHNOLOGY IND GROUP CORP";"CN115983931A";"2021-10-14";"G06Q30/0601";"Y02D10/00 (EP)";"2023-04-18";"2023-04-18";"085960636";
"51";"Multi-user mall system mobile e-commerce service platform";"QIN CHANGYUAN 
SUN WEI 
WANG XIAOTIAN 
CAO YUAN 
QIN BENSHENG";"DUT ARTIFICIAL INTELLIGENCE INST DALIAN";"CN120256147A";"2025-06-06";"G06F40/30 
G06F9/50 
G06Q30/0601";"G06F40/30 (CN) 
G06F9/5088 (CN) 
G06Q30/0631 (CN)";"2025-07-04";"2025-07-04";"096181892";
"52";"E-commerce commodity search recommendation method and device, electronic equipment and storage medium";"CHEN BING 
WANG CAN 
LI YUEXIAN 
XIN MIAOMIAO 
LI QI 
XU KAI";"QINGDAO CHENGYUN DIGITAL TECH CO LTD";"CN118657590A 
CN118657590B";"2024-08-19";"G06F16/2457 
G06F40/30 
G06N3/0442 
G06Q30/0207 
G06Q30/0601";"G06F16/2457 (CN) 
G06F40/30 (CN) 
G06N3/0442 (CN) 
G06Q30/0222 (CN) 
G06Q30/0631 (CN) 
Y02D10/00 (EP)";"2024-09-17 
2025-01-24";"2024-09-17";"092702164";
"53";"User preference analysis system based on shopping cart data";"YING XIAODONG 
WANG JIAN 
ZHOU HONGYANG";"HANGZHOU LUPIN CULTURE ORIGINALITY CO LTD";"CN121073598A";"2025-08-28";"G06F18/25 
G06N3/045 
G06Q30/0201 
G06Q30/0601 
G06F123/02";"";"2025-12-05";"2025-12-05";"097850462";
"54";"Marketing system based on combination of short video technology and e-commerce goods selling";"LIANG XINGSHENG";"HEILONGJIANG QIANQIAN E COMMERCE CO LTD";"CN117035920A";"2023-07-28";"G06F11/14 
G06F16/27 
G06Q30/0601";"G06F11/1464 (CN) 
G06F16/27 (CN) 
G06Q30/0631 (CN) 
G06Q30/0643 (CN) 
Y02D10/00 (EP)";"2023-11-10";"2023-11-10";"088621838";
"55";"Commodity recommendation system for e-commerce platform";"LI CHENG";"CLOUD INFORMATION SCIENCE AND TECH LIMITED COMPANY FOR HEFENGCAT";"CN114155057A";"2021-11-22";"G06K9/62 
G06Q30/06";"G06F18/23213 (CN) 
G06F18/24 (CN) 
G06Q30/0631 (CN)";"2022-03-08";"2022-03-08";"080457319";
"56";"BPR-RNN-based e-commerce platform commodity automatic recommendation system";"GUO BINGJIE 
SHI KAICHENG";"XIAMEN UNIV MALAYSIA";"CN119887335A";"2025-01-08";"G06F18/10 
G06F18/20 
G06Q30/0201 
G06Q30/0601";"G06F18/10 (CN) 
G06F18/20 (CN) 
G06Q30/0201 (CN) 
G06Q30/0631 (CN)";"2025-04-25";"2025-04-25";"095420492";
